epoch: 0 to 50000, average reward: 2.63366, average steps: 33.0693, exploration: 0.99798
epoch: 100 to 50000, average reward: 2.38, average steps: 27.12, exploration: 0.99598
epoch: 200 to 50000, average reward: 2.76, average steps: 32.92, exploration: 0.99398
epoch: 300 to 50000, average reward: 3.03, average steps: 36, exploration: 0.99198
epoch: 400 to 50000, average reward: 2.63, average steps: 28.84, exploration: 0.98998
epoch: 500 to 50000, average reward: 2.79, average steps: 34.28, exploration: 0.98798
epoch: 600 to 50000, average reward: 2.7, average steps: 31.41, exploration: 0.98598
epoch: 700 to 50000, average reward: 1.92, average steps: 28.63, exploration: 0.98398
epoch: 800 to 50000, average reward: 2, average steps: 31.16, exploration: 0.98198
epoch: 900 to 50000, average reward: 2.35, average steps: 29.28, exploration: 0.97998
epoch: 1000 to 50000, average reward: 2.85, average steps: 29.71, exploration: 0.97798
epoch: 1100 to 50000, average reward: 3.52, average steps: 31.92, exploration: 0.97598
epoch: 1200 to 50000, average reward: 2.08, average steps: 27.12, exploration: 0.97398
epoch: 1300 to 50000, average reward: 2.64, average steps: 29.14, exploration: 0.97198
epoch: 1400 to 50000, average reward: 2.54, average steps: 32.43, exploration: 0.96998
epoch: 1500 to 50000, average reward: 2.95, average steps: 29.74, exploration: 0.96798
epoch: 1600 to 50000, average reward: 3.04, average steps: 32.57, exploration: 0.96598
epoch: 1700 to 50000, average reward: 3.24, average steps: 32.51, exploration: 0.96398
epoch: 1800 to 50000, average reward: 2.62, average steps: 28.53, exploration: 0.96198
epoch: 1900 to 50000, average reward: 3.31, average steps: 31.55, exploration: 0.95998
epoch: 2000 to 50000, average reward: 2.53, average steps: 28.83, exploration: 0.95798
epoch: 2100 to 50000, average reward: 2.43, average steps: 32.27, exploration: 0.95598
epoch: 2200 to 50000, average reward: 2.06, average steps: 29.7, exploration: 0.95398
epoch: 2300 to 50000, average reward: 3.44, average steps: 32.8, exploration: 0.95198
epoch: 2400 to 50000, average reward: 2.93, average steps: 32.15, exploration: 0.94998
epoch: 2500 to 50000, average reward: 3.14, average steps: 32.56, exploration: 0.94798
epoch: 2600 to 50000, average reward: 2.53, average steps: 28.77, exploration: 0.94598
epoch: 2700 to 50000, average reward: 2.98, average steps: 33.66, exploration: 0.94398
epoch: 2800 to 50000, average reward: 2.66, average steps: 29.88, exploration: 0.94198
epoch: 2900 to 50000, average reward: 2.48, average steps: 30.42, exploration: 0.93998
epoch: 3000 to 50000, average reward: 3.05, average steps: 32.89, exploration: 0.93798
epoch: 3100 to 50000, average reward: 2.27, average steps: 30.11, exploration: 0.93598
epoch: 3200 to 50000, average reward: 3.37, average steps: 30.16, exploration: 0.93398
epoch: 3300 to 50000, average reward: 3.3, average steps: 34.33, exploration: 0.93198
epoch: 3400 to 50000, average reward: 3.07, average steps: 33.51, exploration: 0.92998
epoch: 3500 to 50000, average reward: 2.88, average steps: 34.26, exploration: 0.92798
epoch: 3600 to 50000, average reward: 3.13, average steps: 35.48, exploration: 0.92598
epoch: 3700 to 50000, average reward: 3.92, average steps: 38.7, exploration: 0.92398
epoch: 3800 to 50000, average reward: 3.04, average steps: 32.57, exploration: 0.92198
epoch: 3900 to 50000, average reward: 2.2, average steps: 34.62, exploration: 0.91998
epoch: 4000 to 50000, average reward: 3.34, average steps: 32.66, exploration: 0.91798
epoch: 4100 to 50000, average reward: 3.62, average steps: 35.38, exploration: 0.91598
epoch: 4200 to 50000, average reward: 3.03, average steps: 32.27, exploration: 0.91398
epoch: 4300 to 50000, average reward: 3.18, average steps: 34.01, exploration: 0.91198
epoch: 4400 to 50000, average reward: 2.54, average steps: 29.12, exploration: 0.90998
epoch: 4500 to 50000, average reward: 3.6, average steps: 34.7, exploration: 0.90798
epoch: 4600 to 50000, average reward: 2.82, average steps: 35.14, exploration: 0.90598
epoch: 4700 to 50000, average reward: 2.45, average steps: 32.75, exploration: 0.90398
epoch: 4800 to 50000, average reward: 2.93, average steps: 39.1, exploration: 0.90198
epoch: 4900 to 50000, average reward: 3.07, average steps: 30.23, exploration: 0.89998
epoch: 5000 to 50000, average reward: 3.76, average steps: 36.66, exploration: 0.89798
epoch: 5100 to 50000, average reward: 3.03, average steps: 35.82, exploration: 0.89598
epoch: 5200 to 50000, average reward: 3.07, average steps: 36.76, exploration: 0.89398
epoch: 5300 to 50000, average reward: 3.02, average steps: 31.99, exploration: 0.89198
epoch: 5400 to 50000, average reward: 2.96, average steps: 33.25, exploration: 0.88998
epoch: 5500 to 50000, average reward: 3.54, average steps: 39.5, exploration: 0.88798
epoch: 5600 to 50000, average reward: 4.49, average steps: 37.71, exploration: 0.88598
epoch: 5700 to 50000, average reward: 3.84, average steps: 36.06, exploration: 0.88398
epoch: 5800 to 50000, average reward: 3.96, average steps: 36.57, exploration: 0.88198
epoch: 5900 to 50000, average reward: 3.62, average steps: 38.96, exploration: 0.87998
epoch: 6000 to 50000, average reward: 2.87, average steps: 37.06, exploration: 0.87798
epoch: 6100 to 50000, average reward: 2.5, average steps: 34.37, exploration: 0.87598
epoch: 6200 to 50000, average reward: 3.47, average steps: 37, exploration: 0.87398
epoch: 6300 to 50000, average reward: 2.94, average steps: 39.38, exploration: 0.87198
epoch: 6400 to 50000, average reward: 3.7, average steps: 38.22, exploration: 0.86998
epoch: 6500 to 50000, average reward: 2.98, average steps: 34.07, exploration: 0.86798
epoch: 6600 to 50000, average reward: 2.88, average steps: 33.96, exploration: 0.86598
epoch: 6700 to 50000, average reward: 3.79, average steps: 37.62, exploration: 0.86398
epoch: 6800 to 50000, average reward: 3.12, average steps: 35.22, exploration: 0.86198
epoch: 6900 to 50000, average reward: 3.75, average steps: 40.04, exploration: 0.85998
epoch: 7000 to 50000, average reward: 4.14, average steps: 39.21, exploration: 0.85798
epoch: 7100 to 50000, average reward: 4.21, average steps: 38.41, exploration: 0.85598
epoch: 7200 to 50000, average reward: 3.22, average steps: 35.67, exploration: 0.85398
epoch: 7300 to 50000, average reward: 3.48, average steps: 37.39, exploration: 0.85198
epoch: 7400 to 50000, average reward: 3.05, average steps: 36.45, exploration: 0.84998
epoch: 7500 to 50000, average reward: 4.08, average steps: 37.23, exploration: 0.84798
epoch: 7600 to 50000, average reward: 3.36, average steps: 36.86, exploration: 0.84598
epoch: 7700 to 50000, average reward: 3.22, average steps: 31.62, exploration: 0.84398
epoch: 7800 to 50000, average reward: 4.07, average steps: 37.1, exploration: 0.84198
epoch: 7900 to 50000, average reward: 3.44, average steps: 36.28, exploration: 0.83998
epoch: 8000 to 50000, average reward: 3.6, average steps: 41.1, exploration: 0.83798
epoch: 8100 to 50000, average reward: 3.25, average steps: 36.6, exploration: 0.83598
epoch: 8200 to 50000, average reward: 3.55, average steps: 32.78, exploration: 0.83398
epoch: 8300 to 50000, average reward: 3.14, average steps: 35.77, exploration: 0.83198
epoch: 8400 to 50000, average reward: 4.03, average steps: 35.74, exploration: 0.82998
epoch: 8500 to 50000, average reward: 3.38, average steps: 37.54, exploration: 0.82798
epoch: 8600 to 50000, average reward: 2.93, average steps: 32.34, exploration: 0.82598
epoch: 8700 to 50000, average reward: 2.82, average steps: 38.6, exploration: 0.82398
epoch: 8800 to 50000, average reward: 3.36, average steps: 36.82, exploration: 0.82198
epoch: 8900 to 50000, average reward: 2.99, average steps: 33.93, exploration: 0.81998
epoch: 9000 to 50000, average reward: 3.87, average steps: 40.69, exploration: 0.81798
epoch: 9100 to 50000, average reward: 3.81, average steps: 34.96, exploration: 0.81598
epoch: 9200 to 50000, average reward: 3.34, average steps: 35.81, exploration: 0.81398
